Experiment,Dataset,Detector,Metric,Value,Source_File
E5_CrossDataset_Old,PartialEdit,MRM,seg_f1_20ms,0.31684518699128333,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:partialedit.mrm.seg_f1_20.0ms
E5_CrossDataset_Old,PartialEdit,MRM,ece_uncalibrated,0.012034576513496474,results_old_2026-04-08/e5_cross_dataset/results_mrm.json:partialedit.mrm.ece_uncalibrated
E6_Codec,PartialSpoof_sample500,BAM,aac_eer_clean,0.019911504424778736,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.eer_clean
E6_Codec,PartialSpoof_sample500,BAM,aac_eer_coded,0.03318584070796458,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.eer_coded
E6_Codec,PartialSpoof_sample500,BAM,aac_eer_delta,0.01327433628318584,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.eer_delta
E6_Codec,PartialSpoof_sample500,BAM,aac_ece_clean,0.0052086188683109005,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.ece_clean
E6_Codec,PartialSpoof_sample500,BAM,aac_ece_coded,0.007270399102524021,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.ece_coded
E6_Codec,PartialSpoof_sample500,BAM,aac_ece_delta,0.0020617802342131203,results_old_2026-04-08/e6_codec/results_bam.json:bam.aac.ece_delta
E6_Codec,PartialSpoof_sample500,BAM,opus_eer_clean,0.019911504424778736,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.eer_clean
E6_Codec,PartialSpoof_sample500,BAM,opus_eer_coded,0.1644811858604157,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.eer_coded
E6_Codec,PartialSpoof_sample500,BAM,opus_eer_delta,0.14456968143563698,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.eer_delta
E6_Codec,PartialSpoof_sample500,BAM,opus_ece_clean,0.0052086188683109005,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.ece_clean
E6_Codec,PartialSpoof_sample500,BAM,opus_ece_coded,0.06787353937617076,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.ece_coded
E6_Codec,PartialSpoof_sample500,BAM,opus_ece_delta,0.06266492050785985,results_old_2026-04-08/e6_codec/results_bam.json:bam.opus.ece_delta
E6_Codec,PartialSpoof_sample500,BAM,amr_eer_clean,0.019911504424778736,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.eer_clean
E6_Codec,PartialSpoof_sample500,BAM,amr_eer_coded,0.08333333333417788,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.eer_coded
E6_Codec,PartialSpoof_sample500,BAM,amr_eer_delta,0.06342182890939914,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.eer_delta
E6_Codec,PartialSpoof_sample500,BAM,amr_ece_clean,0.0052086188683109005,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.ece_clean
E6_Codec,PartialSpoof_sample500,BAM,amr_ece_coded,0.05958413744438169,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.ece_coded
E6_Codec,PartialSpoof_sample500,BAM,amr_ece_delta,0.05437551857607079,results_old_2026-04-08/e6_codec/results_bam.json:bam.amr.ece_delta
E6_Codec,PartialSpoof_sample500,BAM,g711_eer_clean,0.019911504424778736,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.eer_clean
E6_Codec,PartialSpoof_sample500,BAM,g711_eer_coded,0.1587982832618026,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.eer_coded
E6_Codec,PartialSpoof_sample500,BAM,g711_eer_delta,0.13888677883702386,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.eer_delta
E6_Codec,PartialSpoof_sample500,BAM,g711_ece_clean,0.0052086188683109005,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.ece_clean
E6_Codec,PartialSpoof_sample500,BAM,g711_ece_coded,0.068155625400279,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.ece_coded
E6_Codec,PartialSpoof_sample500,BAM,g711_ece_delta,0.06294700653196811,results_old_2026-04-08/e6_codec/results_bam.json:bam.g711.ece_delta
E6_Codec,PartialSpoof_sample500,CFPRF,aac_eer_clean,0.020833333333991347,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.eer_clean
E6_Codec,PartialSpoof_sample500,CFPRF,aac_eer_coded,0.06858407079649677,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.eer_coded
E6_Codec,PartialSpoof_sample500,CFPRF,aac_eer_delta,0.047750737462505424,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.eer_delta
E6_Codec,PartialSpoof_sample500,CFPRF,aac_ece_clean,0.26560040462017065,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.ece_clean
E6_Codec,PartialSpoof_sample500,CFPRF,aac_ece_coded,0.23227690052986144,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.ece_coded
E6_Codec,PartialSpoof_sample500,CFPRF,aac_ece_delta,-0.03332350409030921,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.aac.ece_delta
E6_Codec,PartialSpoof_sample500,CFPRF,opus_eer_clean,0.020833333333991347,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.opus.eer_clean
E6_Codec,PartialSpoof_sample500,CFPRF,opus_eer_coded,0.1371681415928348,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.opus.eer_coded
E6_Codec,PartialSpoof_sample500,CFPRF,opus_eer_delta,0.11633480825884346,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.opus.eer_delta
E6_Codec,PartialSpoof_sample500,CFPRF,amr_eer_clean,0.020833333333991347,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.amr.eer_clean
E6_Codec,PartialSpoof_sample500,CFPRF,amr_eer_coded,0.08333333333254256,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.amr.eer_coded
E6_Codec,PartialSpoof_sample500,CFPRF,amr_eer_delta,0.062499999998551214,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.amr.eer_delta
E6_Codec,PartialSpoof_sample500,CFPRF,g711_eer_clean,0.020833333333991347,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.g711.eer_clean
E6_Codec,PartialSpoof_sample500,CFPRF,g711_eer_coded,0.08333333333439132,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.g711.eer_coded
E6_Codec,PartialSpoof_sample500,CFPRF,g711_eer_delta,0.06250000000039997,results_old_2026-04-08/e6_codec/results_cfprf.json:cfprf.g711.eer_delta
E6_Codec,PartialSpoof_sample500,MRM,aac_eer_clean,0.008849557522119769,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.aac.eer_clean
E6_Codec,PartialSpoof_sample500,MRM,aac_eer_coded,0.020833333333403554,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.aac.eer_coded
E6_Codec,PartialSpoof_sample500,MRM,aac_eer_delta,0.011983775811283785,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.aac.eer_delta
E6_Codec,PartialSpoof_sample500,MRM,opus_eer_clean,0.008849557522119769,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.opus.eer_clean
E6_Codec,PartialSpoof_sample500,MRM,opus_eer_coded,0.06250000000067711,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.opus.eer_coded
E6_Codec,PartialSpoof_sample500,MRM,opus_eer_delta,0.05365044247855734,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.opus.eer_delta
E6_Codec,PartialSpoof_sample500,MRM,amr_eer_clean,0.008849557522119769,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.amr.eer_clean
E6_Codec,PartialSpoof_sample500,MRM,amr_eer_coded,0.03761061946902601,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.amr.eer_coded
E6_Codec,PartialSpoof_sample500,MRM,amr_eer_delta,0.028761061946906242,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.amr.eer_delta
E6_Codec,PartialSpoof_sample500,MRM,g711_eer_clean,0.008849557522119769,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.g711.eer_clean
E6_Codec,PartialSpoof_sample500,MRM,g711_eer_coded,0.041666666666119796,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.g711.eer_coded
E6_Codec,PartialSpoof_sample500,MRM,g711_eer_delta,0.03281710914400003,results_old_2026-04-08/e6_codec/results_mrm.json:mrm.g711.eer_delta
E6_Codec_Current,PartialSpoof_sample500,MRM,aac_eer_clean,0.008849557522119769,results_old_2026-04-08/e6_codec/results.json:mrm.aac.eer_clean
